game,round,num_iterations,max_depth,time_taken,num_children,value
5,19,245,5,10.04,3,-0.07571047088321374
5,20,301,6,10.03,1,-0.07571078138890061
5,21,285,6,10.04,6,-0.07571072209822505
5,22,1000,4,5.31,5,-0.07571178811788559
5,23,264,5,10.02,5,-0.07571223589845678
5,24,269,5,10.03,8,-0.07571193287806884
5,25,1000,3,7.03,3,-0.07571122659742832
5,26,1000,4,6.83,3,-0.07571081845462323
5,27,1000,4,9.75,3,-0.07570953653007746
5,28,1000,4,5.89,1,-0.07571031909435988
5,29,1000,4,8.71,2,-0.07571011164039373
5,30,360,6,10.01,3,-0.07570913202232785
5,31,1000,3,3.05,2,-0.07570911347121
5,32,1000,3,5.01,8,-0.07570917461067438
5,33,1000,2,5.0,7,-0.07570980156213045
5,34,1000,3,4.39,3,-0.07570900786668062
6,1,1000,3,3.71,3,-0.2075969518274069
6,2,1000,3,3.67,3,-0.2075977042913437
6,3,1000,3,3.07,3,-0.20759802214801312
6,4,1000,3,4.15,2,-0.2075983009636402
6,5,1000,5,4.05,2,-0.2075999988913536
6,6,1000,5,3.43,2,-0.2076001805216074
6,7,1000,6,4.23,1,-0.2076007689386606
6,8,1000,3,2.86,1,-0.20760141144692898
6,9,1000,3,2.73,1,-0.20760179051756858
6,10,1000,4,5.66,1,-0.20760291136801243
6,11,1000,2,4.24,6,-0.2076037126034498
6,12,269,5,10.04,3,-0.20760472822366594
6,13,1000,3,5.23,3,-0.20760524466633798
6,14,1000,4,6.8,6,-0.20760611537098886
6,15,279,4,10.01,5,-0.20760585923135066
6,16,1000,5,4.93,1,-0.20760631588101386
6,17,1000,6,4.52,1,-0.20760745586454868
6,18,1000,4,6.49,6,-0.2076080669015646
6,19,1000,1,2.93,9,-0.20760811679065228
6,20,1000,2,3.71,8,-0.20760800103843213
6,21,1000,2,3.3,5,-0.20760818035900594
6,22,275,5,10.04,3,-0.20760936720804735
6,23,1000,4,3.28,3,-0.2076086247563362
6,24,1000,4,3.69,3,-0.2076086709201336
6,25,1000,5,6.85,3,-0.20761000950634478
6,26,1000,6,9.03,3,-0.20761054588854314
6,27,314,5,10.01,3,-0.20761054184786074
