game,port,player
84,5000,Russians
84,5002,Germans
84,5001,Italians
85,5003,Chinese
85,5001,Italians
85,5000,Russians
85,5002,Germans
86,5000,Russians
86,5003,Chinese
86,5001,Italians
86,5002,Germans
87,5002,Germans
87,5003,Chinese
87,5000,Russians
87,5001,Italians
88,5002,Germans
88,5001,Italians
88,5000,Russians
88,5003,Chinese
89,5003,Chinese
89,5000,Russians
89,5001,Italians
89,5002,Germans
90,5002,Germans
90,5003,Chinese
90,5000,Russians
90,5001,Italians
91,5003,Chinese
91,5001,Italians
91,5000,Russians
91,5002,Germans
92,5001,Italians
92,5000,Russians
92,5003,Chinese
92,5002,Germans
93,5000,Russians
93,5001,Italians
93,5002,Germans
93,5003,Chinese
94,5000,Russians
94,5002,Germans
94,5001,Italians
94,5003,Chinese
95,5002,Germans
95,5000,Russians
95,5003,Chinese
95,5001,Italians
96,5000,Russians
96,5002,Germans
96,5003,Chinese
96,5001,Italians
97,5001,Italians
97,5002,Germans
97,5000,Russians
97,5003,Chinese
98,5000,Russians
98,5003,Chinese
98,5002,Germans
98,5001,Italians
99,5001,Italians
99,5003,Chinese
99,5002,Germans
99,5000,Russians
100,5001,Italians
100,5002,Germans
100,5000,Russians
100,5003,Chinese
101,5000,Russians
101,5003,Chinese
101,5002,Germans
101,5001,Italians
102,5003,Chinese
102,5001,Italians
102,5000,Russians
102,5002,Germans
103,5000,Russians
103,5003,Chinese
103,5001,Italians
103,5002,Germans
104,5000,Russians
104,5002,Germans
104,5001,Italians
104,5003,Chinese
105,5003,Chinese
105,5000,Russians
105,5002,Germans
105,5001,Italians
106,5001,Italians
106,5002,Germans
106,5000,Russians
106,5003,Chinese
107,5001,Italians
107,5002,Germans
107,5003,Chinese
107,5000,Russians
108,5001,Italians
108,5000,Russians
108,5002,Germans
108,5003,Chinese
109,5001,Italians
109,5000,Russians
109,5002,Germans
109,5003,Chinese
110,5002,Germans
110,5001,Italians
110,5003,Chinese
110,5000,Russians
111,5003,Chinese
111,5000,Russians
111,5001,Italians
111,5002,Germans
112,5002,Germans
112,5000,Russians
112,5001,Italians
112,5003,Chinese
113,5003,Chinese
113,5002,Germans
113,5001,Italians
113,5000,Russians
114,5001,Italians
114,5003,Chinese
114,5000,Russians
114,5002,Germans
115,5001,Italians
115,5003,Chinese
115,5000,Russians
115,5002,Germans
116,5003,Chinese
116,5000,Russians
116,5001,Italians
116,5002,Germans
117,5003,Chinese
117,5000,Russians
117,5002,Germans
117,5001,Italians
118,5003,Chinese
118,5001,Italians
118,5002,Germans
118,5000,Russians
119,5001,Italians
119,5000,Russians
119,5002,Germans
119,5003,Chinese
120,5003,Chinese
120,5002,Germans
120,5000,Russians
120,5001,Italians
121,5002,Germans
121,5001,Italians
121,5000,Russians
121,5003,Chinese
122,5002,Germans
122,5003,Chinese
122,5001,Italians
122,5000,Russians
123,5003,Chinese
123,5001,Italians
123,5000,Russians
123,5002,Germans
124,5003,Chinese
124,5001,Italians
124,5002,Germans
124,5000,Russians
125,5003,Chinese
125,5001,Italians
125,5002,Germans
125,5000,Russians
126,5000,Russians
126,5001,Italians
126,5002,Germans
126,5003,Chinese
127,5000,Russians
127,5001,Italians
127,5003,Chinese
127,5002,Germans
128,5000,Russians
128,5003,Chinese
128,5002,Germans
128,5001,Italians
129,5001,Italians
129,5002,Germans
129,5003,Chinese
129,5000,Russians
130,5002,Germans
130,5003,Chinese
130,5000,Russians
130,5001,Italians
131,5000,Russians
131,5002,Germans
131,5001,Italians
131,5003,Chinese
132,5003,Chinese
132,5000,Russians
132,5002,Germans
132,5001,Italians
133,5001,Italians
133,5002,Germans
133,5000,Russians
133,5003,Chinese
134,5001,Italians
134,5000,Russians
134,5002,Germans
134,5003,Chinese
135,5000,Russians
135,5001,Italians
135,5003,Chinese
135,5002,Germans
136,5002,Germans
136,5000,Russians
136,5003,Chinese
136,5001,Italians
137,5001,Italians
137,5003,Chinese
137,5000,Russians
137,5002,Germans
138,5001,Italians
138,5002,Germans
138,5003,Chinese
138,5000,Russians
139,5002,Germans
139,5000,Russians
139,5001,Italians
139,5003,Chinese
140,5000,Russians
140,5002,Germans
140,5003,Chinese
140,5001,Italians
141,5002,Germans
141,5001,Italians
141,5003,Chinese
141,5000,Russians
142,5002,Germans
142,5003,Chinese
142,5001,Italians
142,5000,Russians
143,5001,Italians
143,5002,Germans
143,5003,Chinese
143,5000,Russians
144,5002,Germans
144,5000,Russians
144,5001,Italians
144,5003,Chinese
145,5001,Italians
145,5000,Russians
145,5002,Germans
145,5003,Chinese
146,5000,Russians
146,5001,Italians
146,5002,Germans
146,5003,Chinese
147,5002,Germans
147,5000,Russians
147,5003,Chinese
147,5001,Italians
148,5002,Germans
148,5001,Italians
148,5003,Chinese
148,5000,Russians
149,5002,Germans
149,5003,Chinese
149,5000,Russians
149,5001,Italians
150,5001,Italians
150,5000,Russians
150,5002,Germans
150,5003,Chinese
151,5003,Chinese
151,5001,Italians
151,5000,Russians
151,5002,Germans
152,5000,Russians
152,5001,Italians
152,5002,Germans
152,5003,Chinese
