port,game,round,depth,num_children,entropy_ratio,q_spread,concentration
5011,2,16,1,4,0.9989,0.0,0.2698
5012,2,16,1,2,1.0,0.0,0.5
5013,2,16,1,2,1.0,0.0,0.5011
5013,2,16,2,3,0.9998,0.0,0.3436
5010,2,17,1,3,0.9995,0.0,0.3471
5011,2,17,1,3,0.9987,0.0,0.3544
5011,2,17,2,4,0.999,0.0,0.2681
5013,2,17,1,3,0.9997,0.0,0.3447
5010,2,18,1,5,0.9997,0.0,0.2126
5010,2,18,2,3,0.9994,0.0,0.3476
5011,2,18,2,3,0.9998,0.0,0.3407
5012,2,18,1,3,0.9999,0.0,0.3376
5013,2,18,1,3,0.9998,0.0,0.3432
5010,2,19,1,3,0.9996,0.0,0.3467
5011,2,19,2,2,0.9995,0.0,0.5127
5013,2,19,1,3,0.9997,0.0,0.3452
5010,2,20,1,3,0.9994,0.0,0.35
5011,2,20,2,6,0.998,0.0,0.1787
5013,2,20,1,3,0.9998,0.0,0.3433
5010,2,21,1,3,0.9994,0.0,0.3471
5010,2,21,2,3,0.9992,0.0,0.3509
5011,2,21,1,2,0.999,0.0,0.5184
5011,2,21,2,3,0.999,0.0,0.3502
5011,2,21,3,3,0.9996,0.0,0.3457
5012,2,21,1,2,1.0,0.0,0.5022
5013,2,21,1,3,0.9998,0.0,0.3424
5010,2,22,1,3,0.9995,0.0,0.3467
5011,2,22,1,3,0.9993,0.0,0.351
5011,2,22,2,4,0.9999,0.0,0.2556
5012,2,22,1,4,1.0,0.0,0.25
5012,2,22,2,3,0.9999,0.0,0.3412
5013,2,22,1,3,0.9996,0.0,0.346
5013,2,22,2,3,0.9997,0.0,0.345
5010,2,23,1,3,0.9993,0.0,0.3495
5011,2,23,1,2,0.9998,0.0,0.5075
5011,2,23,2,2,0.9981,0.0,0.5258
5011,2,23,3,4,0.9986,0.0,0.27
5012,2,23,1,3,0.9999,0.0,0.3377
5012,2,23,2,3,0.9999,0.0,0.3386
5013,2,23,1,2,0.9998,0.0,0.5087
5013,2,23,2,3,0.9991,0.0,0.3488
